Company,Country,Industry,Year,Rank,Revenue,Profits,Assets,Employees
KB Financial Group,South Korea,Banks: Commercial and Savings,2024,296,50228.4,3546.5,552514.4,"25,003"
Sanofi,France,Pharmaceuticals,2024,297,50208.7,5837.7,139677.5,"86,088"
Marubeni,Japan,Trading,2024,298,50166.9,3261.7,59010.7,"53,804"
Oracle,U.S.,Computer Software,2024,299,49954.0,8503.0,134384.0,"164,000"
Jinchuan Group,China,Metals,2024,300,49900.7,1359.5,21777.0,"31,025"
Swiss Re,Switzerland,Insurance: Property and Casualty (Stock),2024,301,49800.0,3214.0,179576.0,"14,719"
Chubb,Switzerland,Insurance: Property and Casualty (Stock),2024,302,49735.0,9028.0,230682.0,"40,000"
Enterprise Products Partners,U.S.,Pipelines,2024,303,49715.0,5532.0,70982.0,"7,500"
Capital One Financial,U.S.,Banks: Commercial and Savings,2024,304,49484.0,4887.0,478464.0,"51,987"
Denso,Japan,Motor Vehicles & Parts,2024,305,49435.0,2164.2,60133.4,"162,029"
China National Building Material Group,China,"Building Materials, Glass",2024,307,49088.8,198.2,99339.9,"206,518"
Veolia Environnement,France,Utilities,2024,308,49027.1,1013.0,80148.0,"218,288"
China State Shipbuilding,China,Shipping,2024,309,48890.1,2408.4,143707.9,"196,309"
Vodafone Group,Britain,Telecommunications,2024,310,48871.9,1236.2,155751.0,"96,282"
Plains GP Holdings,U.S.,Pipelines,2024,311,48712.0,198.0,28597.0,"4,200"
EXOR Group,Netherlands,Diversified Financials,2024,313,48368.8,4534.0,104681.9,"83,773"
Jingye Group,China,Metals,2024,314,48120.0,248.9,13369.9,"33,000"
Energie Baden-Württemberg,Germany,Utilities,2024,316,48032.2,1662.2,71481.0,"26,943"
Tokyo Electric Power,Japan,Utilities,2024,317,47868.9,1853.3,96518.2,"38,183"
Sumitomo,Japan,Trading,2024,318,47812.9,2673.2,72957.2,"79,692"
World Kinect,U.S.,Energy,2024,319,47710.6,52.9,7375.3,"5,289"
Orange,France,Telecommunications,2024,320,47698.5,2637.8,121550.7,"127,109"
Ingka Group,Netherlands,Specialty Retailers,2024,322,46938.0,1596.7,61283.2,"165,353"
AIG,U.S.,Insurance: Property and Casualty (Stock),2024,324,46802.0,3643.0,539306.0,"25,200"
SoftBank Group,Japan,Telecommunications,2024,325,46748.8,-1575.1,308981.9,"65,352"
Sinomach,China,Industrial Machinery,2024,326,46482.2,181.6,45848.2,"117,357"
Talanx,Germany,Insurance: Property and Casualty (Stock),2024,327,46155.8,1709.2,187041.1,"27,863"
America Movil,Mexico,Telecommunications,2024,328,46010.9,4291.5,92397.4,"176,083"
AstraZeneca,Britain,Pharmaceuticals,2024,329,45811.0,5955.0,101119.0,"89,900"
Zhejiang Communications Investment Group,China,Transportation and Logistics,2024,330,45772.0,763.6,131772.9,"43,266"
China Pacific Insurance (Group),China,"Insurance: Life, Health (stock)",2024,331,45759.9,3850.3,330237.8,"98,732"
Coca-Cola,U.S.,Beverages,2024,332,45754.0,10714.0,97703.0,"79,100"
TIAA,U.S.,"Insurance: Life, Health (Mutual)",2024,333,45734.8,-1408.9,629369.9,"16,023"
CHS,U.S.,Food Production,2024,335,45590.0,1900.4,18957.4,"10,609"
China Huadian,China,Utilities,2024,336,45534.1,1909.5,154660.9,"93,459"
MS&AD Insurance Group Holdings,Japan,Insurance: Property and Casualty (Stock),2024,338,45478.4,2555.0,178284.7,"38,391"
Hyundai Mobis,South Korea,Motor Vehicles & Parts,2024,339,45368.7,2620.6,45225.4,"46,183"
Susun Construction Group,China,Engineering & Construction,2024,340,45265.4,1142.0,33330.9,"141,256"
SNCF Group,France,Railroads,2024,341,45145.0,1416.2,143864.6,"282,786"
Bristol-Myers Squibb,U.S.,Pharmaceuticals,2024,342,45006.0,8025.0,95159.0,"34,100"
China South Industries Group,China,Aerospace & Defense,2024,343,44790.2,1136.8,65364.6,"159,837"
Continental,Germany,Motor Vehicles & Parts,2024,344,44778.0,1250.1,41697.4,"202,763"
Raizen,Brazil,Petroleum Refining,2024,345,44694.1,105.6,25558.5,"45,417"
Dow,U.S.,Chemicals,2024,346,44622.0,589.0,57967.0,"35,900"
George Weston,Canada,Food & Drug Stores,2024,347,44559.6,1141.3,37750.3,"220,280"
L'Oréal,France,Household and Personal Products,2024,348,44520.7,6685.3,57273.1,"94,605"
Telefónica,Spain,Telecommunications,2024,350,43947.2,-964.3,115224.2,"104,142"
China Minsheng Banking,China,Banks: Commercial and Savings,2024,351,43553.6,5060.3,1081316.0,"63,742"
Best Buy,U.S.,Specialty Retailers,2024,352,43452.0,1241.0,14967.0,"85,000"
Woolworths Group,Australia,Food & Drug Stores,2024,353,43256.8,1088.6,22412.9,"200,364"
Shanghai Construction Group,China,Engineering & Construction,2024,354,43031.1,220.1,53830.4,"51,272"
LG Chem,South Korea,Chemicals,2024,355,42921.6,1024.3,59800.5,"40,000"
Thermo Fisher Scientific,U.S.,Medical Products and Equipment,2024,356,42857.0,5995.0,98726.0,"122,000"
Magna International,Canada,Motor Vehicles & Parts,2024,357,42797.0,1213.0,32255.0,"166,000"
OMV Group,Austria,Petroleum Refining,2024,358,42661.8,1677.8,55956.5,"20,592"
Massachusetts Mutual Life Insurance,U.S.,"Insurance: Life, Health (Mutual)",2024,359,42641.4,-771.6,397895.0,"11,323"
USAA,U.S.,Insurance: Property and Casualty (Stock),2024,360,42493.4,1213.5,211637.6,"37,376"
Guangzhou Municipal Construction Group,China,Engineering & Construction,2024,361,42403.2,152.0,29896.7,"50,608"
General Dynamics,U.S.,Aerospace & Defense,2024,362,42272.0,3315.0,54810.0,"111,600"
Vale,Brazil,"Mining, Crude-Oil Production",2024,363,41784.0,7983.0,94186.0,"66,807"
Zijin Mining Group,China,Metals,2024,364,41445.6,2983.3,48325.6,"55,239"
Travelers,U.S.,Insurance: Property and Casualty (Stock),2024,365,41364.0,2991.0,125978.0,"33,133"
LyondellBasell Industries,Netherlands,Chemicals,2024,368,41107.0,2114.0,37000.0,"20,000"
J. Sainsbury,Britain,Food & Drug Stores,2024,369,41088.4,172.1,31666.7,"100,000"
Shenzhen Investment Holdings,China,Diversified Financials,2024,370,41025.2,1412.5,162424.9,"103,928"
Ansteel Group,China,Metals,2024,371,40684.6,-83.1,68003.3,"149,765"
Hanwha,South Korea,Diversified Financials,2024,372,40683.2,291.3,161907.5,"69,345"
Pegatron,Taiwan,"Electronics, Electrical Equip.",2024,375,40356.8,504.6,18176.4,"147,360"
Abbott Laboratories,U.S.,Medical Products and Equipment,2024,376,40109.0,5723.0,73214.0,"114,000"
ThyssenKrupp,Germany,Metals,2024,377,40027.9,-2209.6,35228.6,"99,981"
New Hope Holding Group,China,Food Production,2024,378,39988.0,-93.0,41771.3,"79,066"
KDDI,Japan,Telecommunications,2024,379,39812.7,4413.5,93546.2,"61,288"
China National Nuclear,China,Energy,2024,380,39632.9,1297.4,188569.4,"182,750"
Taikang Insurance Group,China,"Insurance: Life, Health (Mutual)",2024,381,39411.6,1786.1,235068.5,"55,408"
Northrop Grumman,U.S.,Aerospace & Defense,2024,382,39290.0,2056.0,46544.0,"101,000"
Jiangsu Shagang Group,China,Metals,2024,383,39241.3,227.7,51667.9,"44,004"
Inditex,Spain,Specialty Retailers,2024,386,38903.0,5823.5,35554.5,"114,510"
Schneider Electric,France,"Electronics, Electrical Equip.",2024,387,38812.2,4327.5,65053.0,"168,044"
Northwestern Mutual,U.S.,"Insurance: Life, Health (Mutual)",2024,388,38788.1,711.4,358828.6,"8,239"
Dollar General,U.S.,Specialty Retailers,2024,389,38691.6,1661.3,30795.6,"185,800"
Cenovus Energy,Canada,"Mining, Crude-Oil Production",2024,390,38689.8,3045.3,40894.3,"6,925"
ACS,Spain,Engineering & Construction,2024,391,38634.6,843.4,40311.8,"122,979"
Coop Group,Switzerland,Food & Drug Stores,2024,392,38582.7,640.0,26139.3,"82,983"
Xiaomi,China,"Electronics, Electrical Equip.",2024,397,38276.8,2468.5,45682.8,"33,627"
Meiji Yasuda Life Insurance,Japan,"Insurance: Life, Health (Mutual)",2024,399,37897.4,1062.3,349493.5,"47,140"
GSK,Britain,Pharmaceuticals,2024,400,37691.8,6124.5,75203.9,"70,212"
Suncor Energy,Canada,Petroleum Refining,2024,401,37609.3,6147.7,67156.4,"14,906"
GS Caltex,South Korea,Petroleum Refining,2024,405,37216.9,882.6,18775.2,"3,268"
Suzuki Motor,Japan,Motor Vehicles & Parts,2024,406,37184.9,1852.4,35614.5,"72,372"
Haier Smart Home,China,"Electronics, Electrical Equip.",2024,407,36928.8,2344.4,35698.4,"112,458"
X5 Retail Group,Netherlands,Food & Drug Stores,2024,408,36921.9,918.8,17659.2,"372,200"
La Poste,France,"Mail, Package, and Freight Delivery",2024,409,36834.9,555.7,845509.2,"232,726"
Hangzhou Iron and Steel Group,China,Metals,2024,410,36772.3,197.3,14862.9,"11,492"
Shanghai Pharmaceuticals Holding,China,Wholesalers: Health Care,2024,411,36768.8,532.3,29864.5,"48,164"
Shandong Hi-Speed Group,China,Transportation and Logistics,2024,412,36743.8,491.6,213269.4,"56,432"
Honeywell International,U.S.,Industrial Machinery,2024,413,36662.0,5658.0,61525.0,"95,000"
S.F. Holding,China,Transportation and Logistics,2024,415,36502.4,1163.2,31205.5,"153,125"
Mitsubishi Electric,Japan,"Electronics, Electrical Equip.",2024,416,36379.9,1971.6,40783.9,"149,134"
Guangzhou Pharmaceutical Holdings,China,Pharmaceuticals,2024,417,36309.8,324.0,11794.5,"35,391"
China Datang,China,Energy,2024,418,36266.4,332.9,122382.1,"87,991"
Jardine Matheson,China,Motor Vehicles & Parts,2024,421,36049.0,686.0,89182.0,"443,000"
Mondelez International,U.S.,Food Consumer Products,2024,422,36016.0,4959.0,71391.0,"91,000"
Daiwa House Industry,Japan,Engineering & Construction,2024,423,35999.4,2067.1,43206.7,"48,483"
Starbucks,U.S.,Food Services,2024,424,35975.6,4124.5,29445.5,"381,000"
Olam Group,Singapore,Food Production,2024,425,35952.8,207.6,25287.1,"65,980"
Qualcomm,U.S.,Semiconductors and Other Electronic Components,2024,426,35820.0,7232.0,51040.0,"50,000"
JFE Holdings,Japan,Metals,2024,428,35803.7,1366.0,38056.9,"62,218"
US Foods Holding,U.S.,Wholesalers: Food and Grocery,2024,430,35597.0,506.0,13187.0,"30,000"
ELO Group,France,Food & Drug Stores,2024,431,35569.0,-409.7,22955.6,"145,025"
Migros Group,Switzerland,Food & Drug Stores,2024,432,35563.1,205.9,95605.6,"72,523"
China Electronics,China,"Electronics, Electrical Equip.",2024,435,35390.9,26.8,61089.3,"183,469"
Shudao Investment Group,China,Engineering & Construction,2024,436,35379.3,685.9,188446.2,"55,878"
China National Coal Group,China,"Mining, Crude-Oil Production",2024,437,35364.0,2154.2,73994.9,"144,531"
TongLing Nonferrous Metals Group,China,Metals,2024,438,35244.5,59.7,14236.4,"21,443"
CK Hutchison Holdings,China,Specialty Retailers,2024,439,35199.8,3001.7,148415.6,"300,000"
Philip Morris International,U.S.,Tobacco,2024,440,35174.0,7813.0,65304.0,"82,700"
CRH,Ireland,"Building Materials, Glass",2024,443,34949.0,3178.0,47469.0,"78,500"
Quanta Computer,Taiwan,"Computers, Office Equipment",2024,444,34860.2,1274.1,22517.6,"56,708"
Nucor,U.S.,Metals,2024,447,34713.5,4524.8,35340.5,"32,000"
Jabil,U.S.,Semiconductors and Other Electronic Components,2024,448,34702.0,818.0,19424.0,"236,000"
SAP,Germany,Computer Software,2024,450,34542.0,6636.6,75474.9,"107,602"
CRRC Group,China,Industrial Machinery,2024,451,34519.7,861.5,76601.7,"165,344"
Shanghai Delong Steel Group,China,Metals,2024,452,34399.5,223.3,21814.5,"42,843"
Sompo Holdings,Japan,Insurance: Property and Casualty (Stock),2024,454,34136.3,2878.7,98087.4,"48,421"
Beijing Jianlong Heavy Industry Group,China,Metals,2024,458,34069.6,138.9,26732.8,"57,863"
Aisin,Japan,Motor Vehicles & Parts,2024,462,33969.6,628.3,30703.7,"115,140"
Rajesh Exports,India,Trading,2024,463,33944.1,40.5,2648.4,141
British American Tobacco,Britain,Tobacco,2024,464,33907.4,-17855.4,151307.7,"49,839"
CPC,Taiwan,Petroleum Refining,2024,465,33903.7,-656.7,34350.3,"17,142"
Netflix,U.S.,Entertainment,2024,468,33723.3,5408.0,48732.0,"13,000"
Shougang Group,China,Metals,2024,470,33621.3,343.8,74249.4,"83,509"
Shanxi Coking Coal Group,China,"Mining, Crude-Oil Production",2024,471,33533.2,1252.5,73316.4,"214,937"
Guangxi Investment Group,China,Diversified Financials,2024,472,33428.1,68.1,113540.5,"32,241"
Hunan Iron & Steel Group,China,Metals,2024,475,33344.8,834.0,24473.1,"36,114"
Power Corp. of Canada,Canada,"Insurance: Life, Health (stock)",2024,476,33264.8,1665.3,568475.4,"40,300"
Siemens Energy,Germany,Energy,2024,478,33184.9,-4832.9,50695.2,"94,000"
Arrow Electronics,U.S.,Wholesalers: Electronics and Office Equipment,2024,481,33107.1,903.5,21726.2,"22,100"
China National Aviation Fuel Group,China,Trading,2024,483,32984.2,98.8,10700.0,"13,694"
Linde,Britain,Chemicals,2024,486,32854.0,6199.0,80811.0,"66,323"
3M,U.S.,Chemicals,2024,489,32681.0,-6995.0,50580.0,"85,000"
Metro,Germany,Wholesalers: Food and Grocery,2024,494,32579.2,468.1,12325.9,"81,834"
Enbridge,Canada,Pipelines,2024,497,32349.5,4588.3,136769.6,"12,450"
Mitsubishi Heavy Industries,Japan,Industrial Machinery,2024,499,32223.2,1536.2,41371.9,"77,697"
Samsung C&T,South Korea,Engineering & Construction,2024,500,32077.9,1698.5,51046.8,"18,685"
Walmart,U.S.,General Merchandisers,2023,1,611289.0,11680.0,243197.0,"2,100,000"
Saudi Aramco,Saudi Arabia,"Mining, Crude-Oil Production",2023,2,603651.4,159069.0,663541.1,"70,496"
State Grid,China,Utilities,2023,3,530008.8,8191.9,710763.1,"870,287"
Amazon,U.S.,Internet Services and Retailing,2023,4,513983.0,-2722.0,462675.0,"1,541,000"
China National Petroleum,China,Petroleum Refining,2023,5,483019.2,21079.7,637222.9,"1,087,049"
Sinopec Group,China,Petroleum Refining,2023,6,471154.2,9656.9,368750.5,"527,487"
Exxon Mobil,U.S.,Petroleum Refining,2023,7,413680.0,55740.0,369067.0,"62,000"
Apple,U.S.,"Computers, Office Equipment",2023,8,394328.0,99803.0,352755.0,"164,000"
Shell,Britain,Petroleum Refining,2023,9,386201.0,42309.0,443024.0,"93,000"
UnitedHealth Group,U.S.,Health Care: Insurance and Managed Care,2023,10,324162.0,20120.0,245705.0,"400,000"
CVS Health,U.S.,Health Care: Pharmacy and Other Services,2023,11,322467.0,4149.0,228275.0,"259,500"
Trafigura Group,Singapore,Trading,2023,12,318476.4,6994.2,98633.9,"12,347"
China State Construction Engineering,China,Engineering & Construction,2023,13,305884.5,4234.0,386249.3,"382,492"
Berkshire Hathaway,U.S.,Insurance: Property and Casualty (Stock),2023,14,302089.0,-22819.0,948452.0,"383,000"
Volkswagen,Germany,Motor Vehicles & Parts,2023,15,293684.7,15223.2,602611.7,"675,805"
Alphabet,U.S.,Internet Services and Retailing,2023,17,282836.0,59972.0,365264.0,"190,234"
McKesson,U.S.,Wholesalers: Health Care,2023,18,276711.0,3560.0,62320.0,"48,000"
Toyota Motor,Japan,Motor Vehicles & Parts,2023,19,274491.4,18110.0,559764.8,"375,235"
TotalEnergies,France,Petroleum Refining,2023,20,263310.0,20526.0,303864.0,"101,279"
Glencore,Switzerland,"Mining, Crude-Oil Production",2023,21,255984.0,17320.0,132583.0,"81,706"
BP,Britain,Petroleum Refining,2023,22,248891.0,-2487.0,288120.0,"67,600"
Chevron,U.S.,Petroleum Refining,2023,23,246252.0,35465.0,257709.0,"43,846"
Cencora,U.S.,Wholesalers: Health Care,2023,24,238587.0,1698.8,56560.6,"41,500"
Samsung Electronics,South Korea,"Electronics, Electrical Equip.",2023,25,234129.3,42397.7,356469.6,"270,372"
Costco Wholesale,U.S.,General Merchandisers,2023,26,226954.0,5844.0,64166.0,"304,000"
Hon Hai Precision Industry,Taiwan,"Electronics, Electrical Equip.",2023,27,222535.3,4751.0,134617.7,"767,062"
Industrial & Commercial Bank of China,China,Banks: Commercial and Savings,2023,28,214766.3,53589.3,5742860.4,"427,587"
China Construction Bank,China,Banks: Commercial and Savings,2023,29,202753.4,48145.1,5016806.4,"376,682"
Microsoft,U.S.,Computer Software,2023,30,198270.0,72738.0,364840.0,"221,000"
Stellantis,Netherlands,Motor Vehicles & Parts,2023,31,188887.5,17668.5,198628.5,"272,367"
Agricultural Bank of China,China,Banks: Commercial and Savings,2023,32,187061.1,38523.7,4919029.9,"452,258"
Ping An Insurance,China,"Insurance: Life, Health (stock)",2023,33,181565.8,12453.8,1614737.6,"344,223"
Cardinal Health,U.S.,Wholesalers: Health Care,2023,34,181364.0,-933.0,43878.0,"46,035"
Cigna,U.S.,Health Care: Pharmacy and Other Services,2023,35,180516.0,6668.0,143932.0,"70,231"
Marathon Petroleum,U.S.,Petroleum Refining,2023,36,180012.0,14516.0,89904.0,"17,800"
Phillips 66,U.S.,Petroleum Refining,2023,37,175702.0,11024.0,76442.0,"13,000"
Sinochem Holdings,China,Chemicals,2023,38,173834.0,-1.4,229659.4,"223,448"
China Railway Engineering Group,China,Engineering & Construction,2023,39,171668.8,2034.7,234955.7,"314,792"
Valero Energy,U.S.,Petroleum Refining,2023,40,171189.0,11528.0,60982.0,"9,743"
Gazprom,Russia,Energy,2023,41,167831.5,17641.4,352198.9,"468,000"
China National Offshore Oil,China,"Mining, Crude-Oil Production",2023,42,164761.5,16987.7,219415.6,"81,775"
China Railway Construction,China,Engineering & Construction,2023,43,163037.0,1799.6,221617.2,"342,098"
China Baowu Steel Group,China,Metals,2023,44,161698.4,2492.8,179760.1,"245,675"
Mitsubishi,Japan,Trading,2023,45,159371.1,8722.8,166889.3,"79,706"
Ford Motor,U.S.,Motor Vehicles & Parts,2023,46,158057.0,-1981.0,255884.0,"173,000"
Mercedes-Benz Group,Germany,Motor Vehicles & Parts,2023,47,157781.7,15251.6,277436.0,"168,797"
Home Depot,U.S.,Specialty Retailers,2023,48,157403.0,17105.0,76445.0,"471,600"
Bank of China,China,Banks: Commercial and Savings,2023,49,156923.5,33811.0,4192115.2,"306,182"
General Motors,U.S.,Motor Vehicles & Parts,2023,50,156735.0,9934.0,264037.0,"167,000"
Elevance Health,U.S.,Health Care: Insurance and Managed Care,2023,51,156595.0,6025.0,102772.0,"102,300"
JD.com,China,Internet Services and Retailing,2023,52,155533.3,1543.1,86303.1,"450,679"
JPMorgan Chase,U.S.,Banks: Commercial and Savings,2023,53,154792.0,37676.0,3665743.0,"293,723"
China Life Insurance,China,"Insurance: Life, Health (stock)",2023,54,151487.2,6858.6,888305.7,"180,619"
Electricité de France,France,Utilities,2023,55,150902.1,-18868.6,414136.8,"165,028"
Equinor,Norway,Petroleum Refining,2023,56,150806.0,28746.0,158021.0,"21,936"
BMW Group,Germany,Motor Vehicles & Parts,2023,57,149991.3,18869.6,263470.0,"149,475"
Kroger,U.S.,Food & Drug Stores,2023,58,148258.0,2244.0,49623.0,"430,000"
Enel,Italy,Utilities,2023,59,147790.0,1769.1,234332.4,"65,124"
Centene,U.S.,Health Care: Insurance and Managed Care,2023,60,144547.0,1202.0,76870.0,"74,300"
ENI,Italy,Petroleum Refining,2023,61,140606.5,14605.8,162322.7,"32,188"
China Mobile Communications,China,Telecommunications,2023,62,139597.1,14718.3,331724.4,"452,202"
China Communications Construction,China,Engineering & Construction,2023,63,138270.4,1254.9,344369.3,"221,017"
Verizon Communications,U.S.,Telecommunications,2023,64,136835.0,21256.0,379680.0,"117,100"
China Minmetals,China,Metals,2023,65,133541.3,876.9,153155.0,"183,298"
Walgreens Boots Alliance,U.S.,Food & Drug Stores,2023,66,132703.0,4337.0,90124.0,"262,500"
Allianz,Germany,"Insurance: Life, Health (stock)",2023,67,129059.2,7086.8,1089943.7,"159,253"
Alibaba Group,China,Internet Services and Retailing,2023,68,126812.5,10625.0,255263.0,"235,216"
Xiamen C&D,China,Trading,2023,69,125970.5,454.4,104906.7,"40,959"
Honda Motor,Japan,Motor Vehicles & Parts,2023,70,124912.2,4812.6,185852.5,"197,039"
Petrobras,Brazil,Petroleum Refining,2023,71,124474.0,36623.0,187191.0,"45,149"
Shandong Energy Group,China,"Mining, Crude-Oil Production",2023,72,124088.7,32.6,137899.9,"232,841"
E.ON,Germany,Energy,2023,73,121646.4,1925.8,142987.6,"69,378"
China Resources,China,Diversified Financials,2023,74,121642.6,4661.6,331830.3,"379,944"
Fannie Mae,U.S.,Diversified Financials,2023,75,121596.0,12923.0,4305288.0,"8,000"
China Energy Investment,China,"Mining, Crude-Oil Production",2023,76,121583.6,5699.2,281587.3,"310,753"
Comcast,U.S.,Telecommunications,2023,77,121427.0,5370.0,257275.0,"186,000"
AT&T,U.S.,Telecommunications,2023,78,120741.0,-8524.0,402853.0,"160,700"
Deutsche Telekom,Germany,Telecommunications,2023,79,120107.7,8415.1,318595.5,"206,759"
Pemex,Mexico,"Mining, Crude-Oil Production",2023,80,118536.9,4994.0,115262.0,"120,054"
Meta Platforms,U.S.,Internet Services and Retailing,2023,81,116609.0,23200.0,185727.0,"86,482"
Bank of America,U.S.,Banks: Commercial and Savings,2023,82,115053.0,27528.0,3051375.0,"216,823"
China Southern Power Grid,China,Utilities,2023,83,113674.0,1515.5,166026.1,"271,202"
SAIC Motor,China,Motor Vehicles & Parts,2023,84,110612.3,2396.0,143552.1,"154,863"
Hyundai Motor,South Korea,Motor Vehicles & Parts,2023,85,110411.7,5704.9,203299.4,"72,689"
China Post Group,China,"Mail, Package, and Freight Delivery",2023,86,110270.6,4896.7,2131967.6,"752,547"
COFCO,China,Trading,2023,87,110222.0,1765.6,100848.3,"103,537"
Reliance Industries,India,Petroleum Refining,2023,88,109522.8,8306.6,208709.6,"376,000"
Engie,France,Energy,2023,89,109174.7,227.2,251267.8,"96,454"
Target,U.S.,General Merchandisers,2023,90,109120.0,2780.0,53335.0,"440,000"
AXA,France,"Insurance: Life, Health (stock)",2023,91,109067.4,7020.5,743375.7,"90,443"
SK,South Korea,Petroleum Refining,2023,92,105959.1,851.1,154620.1,"124,499"
Mitsui,Japan,Trading,2023,93,105693.9,8353.0,115872.5,"46,811"
Indian Oil,India,Petroleum Refining,2023,94,105349.3,1219.4,53807.8,"32,791"
Xiamen ITG Holding Group,China,Trading,2023,95,103089.7,289.5,46714.8,"32,856"
Itochu,Japan,Trading,2023,96,103028.6,5914.1,98776.9,"133,051"
Dell Technologies,U.S.,"Computers, Office Equipment",2023,97,102301.0,2442.0,89611.0,"133,000"
Archer Daniels Midland,U.S.,Food Production,2023,98,101556.0,4340.0,59774.0,"41,181"
Citigroup,U.S.,Banks: Commercial and Savings,2023,99,101078.0,14845.0,2416676.0,"238,104"
CITIC Group,China,Diversified Financials,2023,100,100768.7,3903.9,1536521.1,"172,761"
United Parcel Service,U.S.,"Mail, Package, and Freight Delivery",2023,101,100338.0,11548.0,71124.0,"404,700"
Pfizer,U.S.,Pharmaceuticals,2023,102,100330.0,31372.0,197205.0,"83,000"
DHL Group,Germany,"Mail, Package, and Freight Delivery",2023,103,99323.9,5636.4,72852.6,"554,975"
Banco Santander,Spain,Banks: Commercial and Savings,2023,104,99231.3,10102.1,1850881.2,"204,300"
PowerChina,China,Engineering & Construction,2023,105,99019.6,620.8,187767.8,"182,424"
Nestlé,Switzerland,Food Consumer Products,2023,106,98930.7,9712.4,146174.3,"275,000"
Life Insurance Corp. of India,India,"Insurance: Life, Health (stock)",2023,107,98534.8,4482.8,557672.5,"104,036"
Lowe's,U.S.,Specialty Retailers,2023,108,97059.0,6437.0,43708.0,"244,500"
NTT,Japan,Telecommunications,2023,109,97048.6,8962.4,190664.8,"338,651"
PTT,Thailand,Petroleum Refining,2023,110,96162.4,2603.8,98832.0,"30,628"
Huawei Investment & Holding,China,Network and Other Communications Equipment,2023,111,95489.9,5282.5,154237.1,"207,000"
Johnson & Johnson,U.S.,Pharmaceuticals,2023,112,94943.0,17941.0,187378.0,"152,700"
Sinopharm,China,Wholesalers: Health Care,2023,113,94075.2,1100.8,81653.7,"201,508"
FedEx,U.S.,"Mail, Package, and Freight Delivery",2023,114,93512.0,3826.0,85994.0,"518,249"
COSCO Shipping,China,Shipping,2023,115,93181.4,6232.7,161552.3,"107,793"
Humana,U.S.,Health Care: Insurance and Managed Care,2023,116,92870.0,2806.0,43055.0,"67,100"
Brookfield,Canada,Diversified Financials,2023,117,92769.0,2056.0,441284.0,"202,500"
Bosch Group,Germany,Motor Vehicles & Parts,2023,118,92766.2,1367.3,106963.5,"421,338"
BASF,Germany,Chemicals,2023,119,91846.9,-659.5,90131.6,"111,481"
People's Insurance Co. of China,China,Insurance: Property and Casualty (Stock),2023,120,91534.6,3638.7,218805.2,"177,852"
Royal Ahold Delhaize,Netherlands,Food & Drug Stores,2023,121,91486.2,2677.8,51808.2,"249,000"
ENEOS Holdings,Japan,Petroleum Refining,2023,122,91437.1,1062.1,74992.6,"44,617"
Hengli Group,China,Textiles,2023,123,90943.7,356.4,48633.1,"170,125"
Carrefour,France,Food & Drug Stores,2023,125,90062.1,1417.8,60339.9,"334,640"
Energy Transfer,U.S.,Pipelines,2023,126,89876.0,4756.0,105643.0,"12,565"
BNP Paribas,France,Banks: Commercial and Savings,2023,127,89563.6,10723.7,2845023.2,"193,122"
State Farm Insurance,U.S.,Insurance: Property and Casualty (Mutual),2023,128,89327.5,-6654.2,318243.0,"60,519"
Seven & I Holdings,Japan,Specialty Retailers,2023,129,88077.6,2095.3,77461.0,"125,701"
HSBC Holdings,Britain,Banks: Commercial and Savings,2023,130,87807.0,16035.0,2966530.0,"219,199"
China FAW Group,China,Motor Vehicles & Parts,2023,131,87679.4,3846.4,86465.3,"119,487"
China Telecommunications,China,Telecommunications,2023,132,87166.4,2060.8,151748.8,"392,726"
Freddie Mac,U.S.,Diversified Financials,2023,133,86717.0,9327.0,3208333.0,"7,819"
Crédit Agricole,France,Banks: Commercial and Savings,2023,134,86471.4,5718.4,2312851.6,"72,758"
PepsiCo,U.S.,Food Consumer Products,2023,135,86392.0,8910.0,92187.0,"315,000"
Zhejiang Rongsheng Holding Group,China,Chemicals,2023,136,86166.0,169.9,56815.8,"23,316"
Assicurazioni Generali,Italy,"Insurance: Life, Health (stock)",2023,137,85749.9,3062.7,553827.4,"82,061"
Wuchan Zhongda Group,China,Trading,2023,138,85709.6,581.4,21030.4,"24,247"
Petronas,Malaysia,Energy,2023,139,85365.4,20999.3,161493.2,"49,771"
Sony,Japan,"Electronics, Electrical Equip.",2023,140,85254.9,6923.4,241383.3,"112,994"
Pertamina,Indonesia,Petroleum Refining,2023,141,84888.3,3806.8,87811.0,"33,596"
XMXYG,China,Trading,2023,142,83639.2,299.5,42457.7,"15,364"
Christian Dior,France,Apparel,2023,143,83282.5,6097.0,140791.7,"180,597"
Wells Fargo,U.S.,Banks: Commercial and Savings,2023,144,82859.0,13182.0,1881016.0,"238,000"
Walt Disney,U.S.,Entertainment,2023,145,82722.0,3145.0,203631.0,"195,800"
China North Industries Group,China,Aerospace & Defense,2023,146,82688.8,1788.4,75355.1,"216,339"
Tencent Holdings,China,Internet Services and Retailing,2023,147,82439.6,27984.2,228807.5,"108,436"
Japan Post Holdings,Japan,"Insurance: Life, Health (stock)",2023,148,82290.5,3184.7,2230763.8,"227,369"
ConocoPhillips,U.S.,"Mining, Crude-Oil Production",2023,149,82156.0,18680.0,93829.0,"9,500"
Aviation Industry Corp. of China,China,Aerospace & Defense,2023,150,81670.8,1528.0,185527.1,"383,000"
Maersk Group,Denmark,Shipping,2023,151,81529.0,29198.0,93680.0,"104,260"
